,PM1,PM2.5,PM10,temp,pressure,humidity
mean,21.31,32.67,41.39,3.61,1019.66,66.37
std,13.73,22.95,29.65,3.98,10.35,13.14
min,0.00,0.00,0.00,-6.33,990.87,22.67
max,66.00,109.00,148.00,17.59,1038.80,100.00
