,PM1,PM2.5,PM10,temp,pressure,humidity
mean,24.53,37.95,47.82,4.25,1022.83,58.99
std,14.45,24.47,31.08,4.69,10.82,17.76
min,0.00,0.00,0.00,-6.59,990.87,10.03
max,66.00,109.00,148.00,17.59,1044.45,100.00
