,PM1,PM2.5,PM10,temp,pressure,humidity
mean,24.00,37.15,47.39,1.98,1022.79,70.70
std,13.04,22.05,28.83,3.53,9.81,10.56
min,0.00,0.00,0.00,-6.33,994.32,24.32
max,66.00,109.00,147.00,14.19,1038.80,93.93
